7920828,愛媛県,新居浜市,松原町,エヒメケン,ニイハマシ,マツバラチョウ
7920881,愛媛県,新居浜市,松神子,エヒメケン,ニイハマシ,マツミコ
7920016,愛媛県,新居浜市,港町,エヒメケン,ニイハマシ,ミナトマチ
7920863,愛媛県,新居浜市,南小松原町,エヒメケン,ニイハマシ,ミナミコマツバラチョウ
7920024,愛媛県,新居浜市,宮西町,エヒメケン,ニイハマシ,ミヤニシチョウ
7920833,愛媛県,新居浜市,宮原町,エヒメケン,ニイハマシ,ミヤバラチョウ
7920805,愛媛県,新居浜市,八雲町,エヒメケン,ニイハマシ,ヤグモチョウ
7920837,愛媛県,新居浜市,山田町,エヒメケン,ニイハマシ,ヤマダチョウ
7920835,愛媛県,新居浜市,山根町,エヒメケン,ニイハマシ,ヤマネチョウ
7920033,愛媛県,新居浜市,横水町,エヒメケン,ニイハマシ,ヨコズイチョウ
7920843,愛媛県,新居浜市,吉岡町,エヒメケン,ニイハマシ,ヨシオカチョウ
7920017,愛媛県,新居浜市,若水町,エヒメケン,ニイハマシ,ワカミズチョウ
7928510,愛媛県,新居浜市,黒島９３０−３,エヒメケン,ニイハマシ,クロシマ
7928511,愛媛県,新居浜市,繁本町２−２,エヒメケン,ニイハマシ,シゲモトチョウ
7928550,愛媛県,新居浜市,南小松原町１３−２７,エヒメケン,ニイハマシ,ミナミコマツバラチョウ
7928614,愛媛県,新居浜市,繁本町５−２０（新居浜郵便局私書箱第６号）,エヒメケン,ニイハマシ,シゲモトチョウ
7928518,愛媛県,新居浜市,多喜浜６７−１７３,エヒメケン,ニイハマシ,タキハマ
7928586,愛媛県,新居浜市,北新町１−５,エヒメケン,ニイハマシ,キタシンマチ
7928521,愛媛県,新居浜市,惣開町５−１,エヒメケン,ニイハマシ,ソウビラキチョウ
7928520,愛媛県,新居浜市,磯浦町２−１,エヒメケン,ニイハマシ,イソウラチョウ
7928555,愛媛県,新居浜市,西原町３丁目５−３,エヒメケン,ニイハマシ,ニシバルマチ
7928567,愛媛県,新居浜市,磯浦町１６−６,エヒメケン,ニイハマシ,イソウラチョウ
7928588,愛媛県,新居浜市,惣開町５−２,エヒメケン,ニイハマシ,ソウビラキチョウ
7928543,愛媛県,新居浜市,王子町３−１,エヒメケン,ニイハマシ,オウジチョウ
7928501,愛媛県,新居浜市,港町２−１０,エヒメケン,ニイハマシ,ミナトマチ
7928670,愛媛県,新居浜市,中須賀町１丁目６−３７（新居浜郵便局私書箱第１４号）,エヒメケン,ニイハマシ,ナカスカチョウ
7928580,愛媛県,新居浜市,八雲町７−１,エヒメケン,ニイハマシ,ヤグモチョウ
7928686,愛媛県,新居浜市,庄内町１丁目９−７,エヒメケン,ニイハマシ,ショウナイチョウ
7928585,愛媛県,新居浜市,一宮町１丁目５−１,エヒメケン,ニイハマシ,イックチョウ
7928505,愛媛県,新居浜市,惣開町２−１３,エヒメケン,ニイハマシ,ソウビラキチョウ
