7100816,岡山県,倉敷市,八王寺町,オカヤマケン,クラシキシ,ハチオウジチョウ
7100037,岡山県,倉敷市,八軒屋,オカヤマケン,クラシキシ,ハチケンヤ
7100061,岡山県,倉敷市,浜ノ茶屋,オカヤマケン,クラシキシ,ハマノチャヤ
7100062,岡山県,倉敷市,浜町,オカヤマケン,クラシキシ,ハママチ
7100142,岡山県,倉敷市,林,オカヤマケン,クラシキシ,ハヤシ
7100022,岡山県,倉敷市,早高,オカヤマケン,クラシキシ,ハヤタカ
7100032,岡山県,倉敷市,東粒浦,オカヤマケン,クラシキシ,ヒガシツブウラ
7100847,岡山県,倉敷市,東富井,オカヤマケン,クラシキシ,ヒガシトミイ
7100053,岡山県,倉敷市,東町,オカヤマケン,クラシキシ,ヒガシマチ
7100063,岡山県,倉敷市,日ノ出町,オカヤマケン,クラシキシ,ヒノデチョウ
7100815,岡山県,倉敷市,日吉町,オカヤマケン,クラシキシ,ヒヨセチョウ
7100003,岡山県,倉敷市,平田,オカヤマケン,クラシキシ,ヒラタ
7100844,岡山県,倉敷市,福井,オカヤマケン,クラシキシ,フクイ
7100145,岡山県,倉敷市,福江,オカヤマケン,クラシキシ,フクエ
7100048,岡山県,倉敷市,福島,オカヤマケン,クラシキシ,フクシマ
7100132,岡山県,倉敷市,藤戸町天城,オカヤマケン,クラシキシ,フジトチョウアマキ
7100133,岡山県,倉敷市,藤戸町藤戸,オカヤマケン,クラシキシ,フジトチョウフジト
7100042,岡山県,倉敷市,二日市,オカヤマケン,クラシキシ,フツカイチ
7100261,岡山県,倉敷市,船穂町船穂,オカヤマケン,クラシキシ,フナオチョウフナオ
7100262,岡山県,倉敷市,船穂町水江,オカヤマケン,クラシキシ,フナオチョウミズエ
7100263,岡山県,倉敷市,船穂町柳井原,オカヤマケン,クラシキシ,フナオチョウヤナイハラ
7100045,岡山県,倉敷市,船倉町,オカヤマケン,クラシキシ,フナグラチョウ
7100841,岡山県,倉敷市,堀南,オカヤマケン,クラシキシ,ホリナン
7100054,岡山県,倉敷市,本町,オカヤマケン,クラシキシ,ホンマチ
7101306,岡山県,倉敷市,真備町有井,オカヤマケン,クラシキシ,マビチョウアリイ
7101305,岡山県,倉敷市,真備町市場,オカヤマケン,クラシキシ,マビチョウイチバ
7101311,岡山県,倉敷市,真備町岡田,オカヤマケン,クラシキシ,マビチョウオカダ
7101304,岡山県,倉敷市,真備町尾崎,オカヤマケン,クラシキシ,マビチョウオサキ
7101315,岡山県,倉敷市,真備町上二万,オカヤマケン,クラシキシ,マビチョウカミニマ
7101313,岡山県,倉敷市,真備町川辺,オカヤマケン,クラシキシ,マビチョウカワベ
7101314,岡山県,倉敷市,真備町下二万,オカヤマケン,クラシキシ,マビチョウシモニマ
7101303,岡山県,倉敷市,真備町妹,オカヤマケン,クラシキシ,マビチョウセ
7101312,岡山県,倉敷市,真備町辻田,オカヤマケン,クラシキシ,マビチョウツジタ
7101302,岡山県,倉敷市,真備町服部,オカヤマケン,クラシキシ,マビチョウハットリ
7101301,岡山県,倉敷市,真備町箭田,オカヤマケン,クラシキシ,マビチョウヤタ
7100802,岡山県,倉敷市,水江,オカヤマケン,クラシキシ,ミズエ
7100001,岡山県,倉敷市,三田,オカヤマケン,クラシキシ,ミツダ
7100823,岡山県,倉敷市,南町,オカヤマケン,クラシキシ,ミナミマチ
7100065,岡山県,倉敷市,宮前,オカヤマケン,クラシキシ,ミヤマエ
7100052,岡山県,倉敷市,美和,オカヤマケン,クラシキシ,ミワ
7100044,岡山県,倉敷市,向山,オカヤマケン,クラシキシ,ムコウヤマ
7100825,岡山県,倉敷市,安江,オカヤマケン,クラシキシ,ヤスエ
7100842,岡山県,倉敷市,吉岡,オカヤマケン,クラシキシ,ヨシオカ
7101201,岡山県,総社市,久代,オカヤマケン,ソウジャシ,クシロ
7101203,岡山県,総社市,新本,オカヤマケン,ソウジャシ,シンポン
7101202,岡山県,総社市,山田,オカヤマケン,ソウジャシ,ヤマダ
7108575,岡山県,倉敷市,中央１丁目１−１５,オカヤマケン,クラシキシ,
7108560,岡山県,倉敷市,水江１番地,オカヤマケン,クラシキシ,
7108511,岡山県,倉敷市,有城７８７,オカヤマケン,クラシキシ,
7108530,岡山県,倉敷市,羽島１０８３,オカヤマケン,クラシキシ,
7108520,岡山県,倉敷市,幸町３−４６,オカヤマケン,クラシキシ,
7108528,岡山県,倉敷市,白楽町５２０−２８,オカヤマケン,クラシキシ,
7108601,岡山県,倉敷市,阿知２丁目２−２（倉敷郵便局私書箱第４８号）,オカヤマケン,クラシキシ,
7108615,岡山県,倉敷市,白楽町２５７−１（倉敷郵便局私書箱第１５号）,オカヤマケン,クラシキシ,
7108525,岡山県,倉敷市,白楽町５２４−９,オカヤマケン,クラシキシ,
7108550,岡山県,倉敷市,阿知１丁目７−１,オカヤマケン,クラシキシ,
7108686,岡山県,倉敷市,水江１５９９（倉敷郵便局私書箱第１４号）,オカヤマケン,クラシキシ,
7108555,岡山県,倉敷市,片島町１０１８−６,オカヤマケン,クラシキシ,
7108611,岡山県,倉敷市,片島町２３６（倉敷郵便局私書箱第１１号）,オカヤマケン,クラシキシ,
7108678,岡山県,倉敷市,中島１１３８（倉敷郵便局私書箱第５４号）,オカヤマケン,クラシキシ,
7108648,岡山県,倉敷市,幸町２−３７（倉敷郵便局私書箱第６２号）,オカヤマケン,クラシキシ,
7108558,岡山県,倉敷市,幸町３−３３,オカヤマケン,クラシキシ,
7108565,岡山県,倉敷市,西中新田６４０,オカヤマケン,クラシキシ,
7108585,岡山県,倉敷市,白楽町２４９−５,オカヤマケン,クラシキシ,
7108535,岡山県,倉敷市,鶴形１丁目９番７号,オカヤマケン,クラシキシ,
7108581,岡山県,倉敷市,中島１０００−１,オカヤマケン,クラシキシ,
7108522,岡山県,倉敷市,白楽町広堀２５０,オカヤマケン,クラシキシ,
7108602,岡山県,倉敷市,美和１丁目１−１（倉敷郵便局私書箱第２７号）,オカヤマケン,クラシキシ,
7108543,岡山県,倉敷市,中庄２２９３−２,オカヤマケン,クラシキシ,
7108605,岡山県,倉敷市,老松町３丁目１０−２５（倉敷郵便局私書箱第７５号）,オカヤマケン,クラシキシ,
7108501,岡山県,倉敷市,西阿知町西原８８４,オカヤマケン,クラシキシ,
7108638,岡山県,倉敷市,昭和１丁目２−２２（倉敷郵便局私書箱第３８号）,オカヤマケン,クラシキシ,
7108666,岡山県,倉敷市,西中新田５２５−６,オカヤマケン,クラシキシ,
7108505,岡山県,倉敷市,上富井５８,オカヤマケン,クラシキシ,
7108588,岡山県,倉敷市,西阿知町１２８６,オカヤマケン,クラシキシ,
7100298,岡山県,倉敷市,新倉敷駅前５丁目１４１,オカヤマケン,クラシキシ,
7100292,岡山県,倉敷市,玉島長尾３５１５,オカヤマケン,クラシキシ,
7100293,岡山県,倉敷市,船穂町船穂２８９７番地,オカヤマケン,クラシキシ,
7100294,岡山県,倉敷市,船穂町船穂２６３６−２,オカヤマケン,クラシキシ,
7101398,岡山県,倉敷市,真備町箭田１１４１−１,オカヤマケン,クラシキシ,
7108622,岡山県,倉敷市,酒津１６２１（倉敷郵便局私書箱第２２号）,オカヤマケン,クラシキシ,
